Comment,review1,review2,review3
পড়ে ভালো লাগলো,social,social,social
মুসলিম বিদ্বেষ বৃদ্ধি পাওয়ায় কারণ কি ?। যদি কেউ বুঝিয়ে বলেন!,social,social,social
"""ধর্মমাত্রই কুসংস্কার,অলৌকিকতা ও অবৈজ্ঞানিকতার উপর অন্ধবিশ্বাস। আর এই অন্ধবিশ্বাসকে শাসনব্যবস্থা ও শিক্ষাব্যবস্থায় প্রয়োগের নাম ইসলাম। বর্তমানে মুসলিম বিদ্বেষ বৃদ্ধির পিছনে সবথেকে বড় কারণ কুরআণ ও হাদীসে বিশ্বাসী মুসলমানদের দ্বিচারিতা,সৌদিআরব দ্বারা ইয়েমিনিদের হত্যার ব্যাপারে এরা চুপ,সৌদিআরব থেকে হাজার হাজার নারী গর্ভবতী /মা হয়ে ফেরৎ বা নির্যাতিত হয়ে ফেরতের ব্যাপারে নীরবতা।আফগানিস্তান তালিবান দ্বারা মেয়েদের স্কুলে বোমা ফেলে হত্যার ব্যাপারে নীরবতা।ওআইসিসহ বিভিন্ন মুসলিমকেন্দ্রিক সংগঠন সৃষ্টি মুসলমানদের আলাদা করে দিচ্ছে।""",social,social,social
শুরুটা সেদিন হয়েছিল যখনই সলাম গ্রহণ না করার কারণেআ রব ভূখন্ড থেকেঅমু সলিমদেরবি তাড়িত হতে হয়েছিল।,social,social,social
"""এটাই একটা দেশের নেতার কথা, আমাদের দেশে সংখ্যালঘুর উপর আক্রমনের পর এমন কোন পরিস্কার মন্তব্য করতেই শুনিনি কোন নেতার মুখে। বরং শুনতে পাই বাংলাদেশ সাম্প্রদায়িক সম্প্রীতির দেশ, আর ইসলাম শান্তির ধর্ম নামক প্রচলিত একঘেয়ে আর নির্যাতিত দের জন্য চরম বিরক্তিকর কথাগুলো। হিংসা চরম আঁকার ধারন করেছে পৃথিবীর সর্বত্র যে আগুনে আমরা যেকেউ যেকোন জায়গায় জ্বলে ছাড়কাড় হয়ে যাব যেকোন সময়।""",social,social,social
যার যেটা সম্পর্কে স্পষ্ট জ্ঞান নেই সেটা নিয়ে কথা বলা থেকে বিরত থাকা সবার আগে প্রয়োজন।,social,social,social
খুবই সুন্দরভাবে উপস্থাপন করেছেন।,social,social,social
"""ইসলামকে ঘৃণা করুন, মুসলিমকে নয়।""",antisocial,antisocial,antisocial
"""‘ মু সলমান ধর্মশাস্ত্রের নির্দেশ মতােমু সলিম মাত্রেরই নিকট পৃথিবী দুইভাগে বিভক্ত(১) দার-উল- ই সলাম;(২) দার-উল-হারব।দার-উল- ই সলামের অর্থই সলামের দেশ, অর্থাৎ যে দেশই সলাম ধর্মাবলম্বী শাসক কর্তৃক অধিকৃত ও শাসিত।দার উল-হারবের অর্থযু দ্ধের দেশ; যে দেশেযু দ্ধ করিয়াই সলামের প্রাধান্য স্থাপন করিতেহইবে।ই সলামের বিধান অনুসারে কোনোমু সলমান কখনো অ-মুসলমানের অধীন থাকিতে পারে না। শুধু তাই নয়,অ-মুসলমান জগৎ ওমু সলমান জগতের মধ্যে চিরন্তন বিরােধ।এই জন্যই অ-মুসলমান জগতের নামকরণ হইয়াছে দার-উল-হারব,যু দ্ধের দেশ। এই নির্দেশের জন্য অ-মুসলমান ওমু সলমান রাজ্যের মধ্যে কোন মৈত্রী হইতে পারে না;যতদিন পর্যন্ত নাদার-উল-হারবদার-উল- ই সলামে পরিণত হইবে ততদিন পর্যন্ত বিশ্বাসীমু সলমান মাত্রকেইজি হাদ বা যু দ্ধ চালাইতে হইবে।জি হাদের নিয়ম অনুযায়ী অবিশ্বাসীকে হয় (১) মুসলমান হইতে হইবে, কিংবা(২)মু সলমানের প্রাধান্য স্বীকারকরিয়া ও জি জিয়া দিতে স্বীকৃতি হইয়া আশ্রিত (জিম্মী) হইয়া থাকিতে হইবে, কিংবা (৩) যু দ্ধ করিতে হইবে।ই সলামের বিধান মানিলে এই তিন পথের এক পথ ভিন্নকা ফের",social,social,social
যতই যুক্তি প্রমান দিয়ে কথা বলুন তারপরে আপনি নাস্তিক মানে ভালনা মানিনা মানবনা,social,social,social
"""সব ধর্ম - নিজেকে শ্রেষ্ঠ-ধর্ম বলা এবং প্রমাণ করার চেষ্টার কারনে - ধর্ম নিজে নিজেই একটা বিদ্বেষ-পূর্ণ বিষয়। এক ধর্মের সাথে অন্য ধর্মের বিদ্বেষ, ব্যক্তিতে ব্যক্তিতে বিদ্বেষ, সমাজে সমাজে বিদ্বেষ এবং সর্বোপরি মানুষে মানুষে ঘৃনা-বিদ্বেষ এবং বিভেদ -বিভাজন সৃষ্টির মূল উপাদানই হচ্ছে """"ধর্ম""""। ধর্ম না থাকলে - সমাজে, দেশে এবং মানুষে মানুষে ঘৃনা-বিদ্বেষ এবং বিভেদ-বিভাজন সৃষ্টির সুযোগ কমে যেতো।""",antisocial,antisocial,antisocial
"""প্রায় সকল ধর্মের সৃষ্টি বা আগমন হয়েছিল """"দাস এবং মধ্যযুগীয় বর্বর সমাজে"""" - বিশেষ করে মরুভূমি এবং পাহাড়ী অঞ্চলে। বেশিরভাগ ধর্মের মূল বিষয় হচ্ছে - অশিক্ষা, কুশিক্ষা, কুসংস্কার, ধর্মান্ধতা, ধর্ম-ব্যবসা, জঙ্গিবাদ, অনৈতিকতা, হীনমন্যতা, সংকীর্ণতা, স্বার্থপরতা, অমানবিকতা এবং নারী-বিদ্বেষ।""",antisocial,antisocial,antisocial
এর শেষ কোথায়,social,social,social
"""আপনি নিজেও সেই সিস্টেমে পড়ে আছেন,,,, মুসলিম বিদ্বেষে ভরে গেছে আপনার মন,,, একজন চরম মুক্তমনা জঙ্গি হলেন আপনি,,,মুসলিমদের বিরুদ্ধে লিখতে আপনার মন আনন্দে নেচে উঠে.... এই ভদ্র নাম ধারী মুখোশ পরা মুক্তমনা জঙ্গি পথ থেকে সরে আসুন,,, আল্লাহ্ এই পৃথিবীর প্রত্যেকটি মানুষকে কল্যাণের পথে ডাকতে থাকেন...""",antisocial,antisocial,antisocial
ইসলামফোবিয়ায় ভুগছে বিশ্ব! মুসলিমের উপর সহিংস আক্রমণ এবং মৃত্যু কে নিন্দা জ্ঞাপন করি!পাকিস্তানের পরিবারটির জন্য সমবেদনা!,social,social,social
অসাধারন লিখনি,social,social,social
